latitude,longitude,suitability_score
41.25,43.25,1.53
41.25,43.5,1.6
41.25,43.75,1.7200000000000002
41.25,44.0,0.96
41.25,44.25,1.1099999999999999
41.25,44.5,0.16
41.25,44.75,1.79
41.25,45.75,1.31
41.25,46.0,0.0
41.25,46.25,0.0
41.25,46.5,0.96
41.5,41.75,0.0
41.5,42.0,0.0
41.5,42.25,1.05
41.5,42.5,0.0
41.5,43.0,0.0
41.5,43.25,1.71
41.5,43.5,1.62
41.5,43.75,1.63
41.5,44.0,1.44
41.5,44.25,0.17
41.5,44.5,1.89
41.5,44.75,1.96
41.5,45.0,0.0
41.5,45.25,1.3900000000000001
41.5,45.5,1.5
41.5,45.75,1.5
41.5,46.0,0.45
41.5,46.25,1.34
41.75,41.75,0.32
41.75,42.0,0.0
41.75,42.25,0.26
41.75,42.5,0.22
41.75,42.75,0.16
41.75,43.0,0.0
41.75,43.25,0.16
41.75,43.5,0.27999999999999997
41.75,43.75,0.23
41.75,44.0,1.05
41.75,44.25,0.23
41.75,44.5,0.31
41.75,44.75,1.71
41.75,45.0,0.0
41.75,45.25,1.58
41.75,45.5,0.0
41.75,45.75,0.0
41.75,46.0,0.0
42.0,42.0,0.0
42.0,42.25,0.0
42.0,42.5,0.2
42.0,42.75,0.14
42.0,43.0,0.23
42.0,43.25,0.27
42.0,43.5,0.0
42.0,43.75,1.73
42.0,44.0,1.88
42.0,44.25,0.0
42.0,44.5,1.83
42.0,44.75,1.77
42.0,45.0,0.0
42.0,45.25,1.81
42.0,45.5,2.12
42.0,45.75,0.0
42.0,46.0,0.47
42.25,41.75,0.27
42.25,42.0,0.0
42.25,42.25,0.27
42.25,42.5,1.56
42.25,42.75,0.3
42.25,43.0,1.81
42.25,43.25,1.6500000000000001
42.25,43.5,1.73
42.25,43.75,0.24000000000000002
42.25,44.0,0.14
42.25,44.25,0.26
42.25,44.5,0.24000000000000002
42.25,44.75,0.76
42.25,45.0,0.0
42.25,45.25,0.0
42.25,45.5,0.25
42.5,41.75,0.49000000000000005
42.5,42.0,0.0
42.5,42.25,0.24000000000000002
42.5,42.5,0.0
42.5,42.75,0.32
42.5,43.0,0.25
42.5,43.25,0.22
42.5,43.5,0.12
42.5,43.75,0.0
42.5,44.0,1.29
42.5,44.25,0.5900000000000001
42.5,44.5,0.26
42.5,44.75,0.0
42.5,45.0,0.0
42.5,45.25,0.0
42.5,45.5,0.0
42.75,41.5,1.62
42.75,41.75,0.24000000000000002
42.75,42.0,0.0
42.75,42.25,0.0
42.75,42.5,0.0
42.75,42.75,0.23
42.75,43.0,0.0
42.75,43.25,0.15
42.75,43.5,0.0
42.75,43.75,0.0
43.0,41.0,1.84
43.0,41.25,0.0
43.0,41.5,0.2
43.0,41.75,0.14
43.0,42.0,0.0
43.0,42.25,0.27999999999999997
43.0,42.5,0.12000000000000001
43.0,42.75,0.21000000000000002
43.0,43.0,0.81
43.25,40.5,0.27
43.25,40.75,0.22
43.25,41.0,0.23
43.25,41.25,0.49
43.25,41.5,0.13
43.5,40.25,0.09
43.5,40.5,0.0
