latitude,longitude,month,irradiance
41.5,45.0,07,6.35
41.5,45.0,08,5.88
41.5,45.0,09,4.34
41.5,45.0,10,3.05
41.5,45.0,11,2.15
41.5,45.0,12,1.65
41.5,45.0,13,4.05
41.5,45.25,01,1.92
41.5,45.25,02,2.61
41.5,45.25,03,3.49
41.5,45.25,04,4.84
41.5,45.25,05,5.7
41.5,45.25,06,6.55
41.5,45.25,07,6.35
41.5,45.25,08,5.88
41.5,45.25,09,4.34
41.5,45.25,10,3.05
41.5,45.25,11,2.15
41.5,45.25,12,1.65
41.5,45.25,13,4.05
41.5,45.5,01,1.92
41.5,45.5,02,2.61
41.5,45.5,03,3.49
41.5,45.5,04,4.84
41.5,45.5,05,5.7
41.5,45.5,06,6.55
41.5,45.5,07,6.35
41.5,45.5,08,5.88
41.5,45.5,09,4.34
41.5,45.5,10,3.05
41.5,45.5,11,2.15
41.5,45.5,12,1.65
41.5,45.5,13,4.05
41.5,45.75,01,1.92
41.5,45.75,02,2.61
41.5,45.75,03,3.49
41.5,45.75,04,4.84
41.5,45.75,05,5.7
41.5,45.75,06,6.55
41.5,45.75,07,6.35
41.5,45.75,08,5.88
41.5,45.75,09,4.34
41.5,45.75,10,3.05
41.5,45.75,11,2.15
41.5,45.75,12,1.65
41.5,45.75,13,4.05
41.5,46.0,01,1.82
41.5,46.0,02,2.47
41.5,46.0,03,3.36
41.5,46.0,04,4.65
41.5,46.0,05,5.57
41.5,46.0,06,6.61
41.5,46.0,07,6.29
41.5,46.0,08,5.88
41.5,46.0,09,4.38
41.5,46.0,10,2.98
41.5,46.0,11,2.1
41.5,46.0,12,1.57
41.5,46.0,13,3.98
41.5,46.25,01,1.82
41.5,46.25,02,2.47
41.5,46.25,03,3.36
41.5,46.25,04,4.65
41.5,46.25,05,5.57
41.5,46.25,06,6.61
41.5,46.25,07,6.29
41.5,46.25,08,5.88
41.5,46.25,09,4.38
41.5,46.25,10,2.98
41.5,46.25,11,2.1
41.5,46.25,12,1.57
41.5,46.25,13,3.98
41.75,41.75,01,1.64
41.75,41.75,02,2.35
41.75,41.75,03,3.28
41.75,41.75,04,4.67
41.75,41.75,05,5.44
41.75,41.75,06,5.87
41.75,41.75,07,5.45
41.75,41.75,08,5.16
41.75,41.75,09,4.18
41.75,41.75,10,2.94
41.75,41.75,11,2.05
41.75,41.75,12,1.45
41.75,41.75,13,3.71
41.75,42.0,01,1.95
41.75,42.0,02,2.92
41.75,42.0,03,3.73
41.75,42.0,04,4.87
41.75,42.0,05,5.35
41.75,42.0,06,6.04
41.75,42.0,07,5.92
41.75,42.0,08,5.74
41.75,42.0,09,4.52
41.75,42.0,10,3.14
41.75,42.0,11,2.16
41.75,42.0,12,1.68
41.75,42.0,13,4.01
41.75,42.25,01,1.95
41.75,42.25,02,2.92
41.75,42.25,03,3.73
41.75,42.25,04,4.87
41.75,42.25,05,5.35
41.75,42.25,06,6.04
41.75,42.25,07,5.92
41.75,42.25,08,5.74
41.75,42.25,09,4.52
41.75,42.25,10,3.14
41.75,42.25,11,2.16
41.75,42.25,12,1.68
41.75,42.25,13,4.01
41.75,42.5,01,1.95
41.75,42.5,02,2.92
41.75,42.5,03,3.73
41.75,42.5,04,4.87
41.75,42.5,05,5.35
41.75,42.5,06,6.04
41.75,42.5,07,5.92
41.75,42.5,08,5.74
41.75,42.5,09,4.52
41.75,42.5,10,3.14
41.75,42.5,11,2.16
41.75,42.5,12,1.68
41.75,42.5,13,4.01
41.75,42.75,01,1.95
41.75,42.75,02,2.92
41.75,42.75,03,3.73
41.75,42.75,04,4.87
41.75,42.75,05,5.35
41.75,42.75,06,6.04
41.75,42.75,07,5.92
41.75,42.75,08,5.74
41.75,42.75,09,4.52
41.75,42.75,10,3.14
41.75,42.75,11,2.16
41.75,42.75,12,1.68
41.75,42.75,13,4.01
41.75,43.0,01,2.04
41.75,43.0,02,3.13
41.75,43.0,03,3.65
41.75,43.0,04,4.88
41.75,43.0,05,5.42
41.75,43.0,06,6.28
41.75,43.0,07,6.37
41.75,43.0,08,6.07
41.75,43.0,09,4.63
41.75,43.0,10,3.21
41.75,43.0,11,2.19
41.75,43.0,12,1.69
41.75,43.0,13,4.13
41.75,43.25,01,2.04
41.75,43.25,02,3.13
41.75,43.25,03,3.65
41.75,43.25,04,4.88
41.75,43.25,05,5.42
41.75,43.25,06,6.28
41.75,43.25,07,6.37
41.75,43.25,08,6.07
41.75,43.25,09,4.63
41.75,43.25,10,3.21
41.75,43.25,11,2.19
41.75,43.25,12,1.69
41.75,43.25,13,4.13
41.75,43.5,01,2.04
41.75,43.5,02,3.13
41.75,43.5,03,3.65
41.75,43.5,04,4.88
41.75,43.5,05,5.42
41.75,43.5,06,6.28
41.75,43.5,07,6.37
41.75,43.5,08,6.07
41.75,43.5,09,4.63
41.75,43.5,10,3.21
41.75,43.5,11,2.19
41.75,43.5,12,1.69
41.75,43.5,13,4.13
41.75,43.75,01,2.04
41.75,43.75,02,3.13
41.75,43.75,03,3.65
41.75,43.75,04,4.88
41.75,43.75,05,5.42
41.75,43.75,06,6.28
41.75,43.75,07,6.37
41.75,43.75,08,6.07
41.75,43.75,09,4.63
41.75,43.75,10,3.21
41.75,43.75,11,2.19
41.75,43.75,12,1.69
41.75,43.75,13,4.13
41.75,44.0,01,1.88
41.75,44.0,02,2.66
41.75,44.0,03,3.39
41.75,44.0,04,4.6
41.75,44.0,05,5.35
41.75,44.0,06,6.2
41.75,44.0,07,6.07
41.75,44.0,08,5.68
41.75,44.0,09,4.2
41.75,44.0,10,3.03
