latitude,longitude,suitability_score
41.25,43.25,0.98
41.25,43.5,1.02
41.25,43.75,1.08
41.25,44.0,0.6
41.25,44.25,0.7
41.25,44.5,0.1
41.25,44.75,1.1400000000000001
41.25,45.75,0.8300000000000001
41.25,46.0,0.0
41.25,46.25,0.0
41.25,46.5,0.6000000000000001
41.5,41.75,0.0
41.5,42.0,0.0
41.5,42.25,0.66
41.5,42.5,0.0
41.5,43.0,0.0
41.5,43.25,1.07
41.5,43.5,1.01
41.5,43.75,1.01
41.5,44.0,0.91
41.5,44.25,0.11
41.5,44.5,1.19
41.5,44.75,1.23
41.5,45.0,0.0
41.5,45.25,0.8600000000000001
41.5,45.5,0.94
41.5,45.75,0.94
41.5,46.0,0.28
41.5,46.25,0.8400000000000001
41.75,41.75,0.2
41.75,42.0,0.0
41.75,42.25,0.17
41.75,42.5,0.13
41.75,42.75,0.11
41.75,43.0,0.0
41.75,43.25,0.11
41.75,43.5,0.17
41.75,43.75,0.14
41.75,44.0,0.65
41.75,44.25,0.14
41.75,44.5,0.18
41.75,44.75,1.08
41.75,45.0,0.0
41.75,45.25,0.99
41.75,45.5,0.0
41.75,45.75,0.0
41.75,46.0,0.0
42.0,42.0,0.0
42.0,42.25,0.0
42.0,42.5,0.13
42.0,42.75,0.1
42.0,43.0,0.13
42.0,43.25,0.19
42.0,43.5,0.0
42.0,43.75,1.0899999999999999
42.0,44.0,1.19
42.0,44.25,0.0
42.0,44.5,1.16
42.0,44.75,1.12
42.0,45.0,0.0
42.0,45.25,1.13
42.0,45.5,1.34
42.0,45.75,0.0
42.0,46.0,0.31
42.25,41.75,0.17
42.25,42.0,0.0
42.25,42.25,0.16
42.25,42.5,0.98
42.25,42.75,0.19
42.25,43.0,1.15
42.25,43.25,1.05
42.25,43.5,1.08
42.25,43.75,0.14
42.25,44.0,0.1
42.25,44.25,0.16
42.25,44.5,0.14
42.25,44.75,0.48000000000000004
42.25,45.0,0.0
42.25,45.25,0.0
42.25,45.5,0.16
42.5,41.75,0.3
42.5,42.0,0.0
42.5,42.25,0.14
42.5,42.5,0.0
42.5,42.75,0.2
42.5,43.0,0.15
42.5,43.25,0.13
42.5,43.5,0.09
42.5,43.75,0.0
42.5,44.0,0.81
42.5,44.25,0.36
42.5,44.5,0.16
42.5,44.75,0.0
42.5,45.0,0.0
42.5,45.25,0.0
42.5,45.5,0.0
42.75,41.5,1.02
42.75,41.75,0.14
42.75,42.0,0.0
42.75,42.25,0.0
42.75,42.5,0.0
42.75,42.75,0.13
42.75,43.0,0.0
42.75,43.25,0.1
42.75,43.5,0.0
42.75,43.75,0.0
43.0,41.0,1.15
43.0,41.25,0.0
43.0,41.5,0.12
43.0,41.75,0.1
43.0,42.0,0.0
43.0,42.25,0.2
43.0,42.5,0.08
43.0,42.75,0.14
43.0,43.0,0.51
43.25,40.5,0.17
43.25,40.75,0.13
43.25,41.0,0.13
43.25,41.25,0.3
43.25,41.5,0.1
43.5,40.25,0.04
43.5,40.5,0.0
