latitude,longitude,year_month,irradiance
41.25,43.5,201707,6.7195
41.25,43.5,201708,6.4438
41.25,43.5,201709,5.0174
41.25,43.5,201710,2.9652
41.25,43.5,201711,2.0513
41.25,43.5,201712,1.8389
41.25,43.5,201713,4.3303
41.25,43.5,201801,1.9178
41.25,43.5,201802,3.1793
41.25,43.5,201803,3.2561
41.25,43.5,201804,5.6882
41.25,43.5,201805,4.993
41.25,43.5,201806,6.3173
41.25,43.5,201807,6.5573
41.25,43.5,201808,5.3328
41.25,43.5,201809,4.6968
41.25,43.5,201810,3.4358
41.25,43.5,201811,2.0256
41.25,43.5,201812,1.391
41.25,43.5,201813,4.0666
41.25,43.5,201901,1.9968
41.25,43.5,201902,3.3806
41.25,43.5,201903,3.7454
41.25,43.5,201904,4.7258
41.25,43.5,201905,6.2198
41.25,43.5,201906,6.047
41.25,43.5,201907,6.4054
41.25,43.5,201908,5.9066
41.25,43.5,201909,4.409
41.25,43.5,201910,3.7817
41.25,43.5,201911,2.5558
41.25,43.5,201912,1.7954
41.25,43.5,201913,4.2526
41.25,43.5,202001,1.9982
41.25,43.5,202002,2.819
41.25,43.5,202003,3.6595
41.25,43.5,202004,4.7714
41.25,43.5,202005,5.6093
41.25,43.5,202006,6.6403
41.25,43.5,202007,6.3619
41.25,43.5,202008,5.9575
41.25,43.5,202009,4.9795
41.25,43.5,202010,3.8705
41.25,43.5,202011,1.997
41.25,43.5,202012,1.8331
41.25,43.5,202013,4.2115
41.25,43.5,202101,1.8734
41.25,43.5,202102,3.0235
41.25,43.5,202103,3.5719
41.25,43.5,202104,4.8101
41.25,43.5,202105,6.3442
41.25,43.5,202106,6.714
41.25,43.5,202107,6.1889
41.25,43.5,202108,5.923
41.25,43.5,202109,4.2641
41.25,43.5,202110,3.1013
41.25,43.5,202111,2.2555
41.25,43.5,202112,1.6694
41.25,43.5,202113,4.1501
41.25,43.5,202201,2.0558
41.25,43.5,202202,2.8656
41.25,43.5,202203,3.5422
41.25,43.5,202204,4.9678
41.25,43.5,202205,5.4859
41.25,43.5,202206,5.7538
41.25,43.5,202207,6.6079
41.25,43.5,202208,6.4843
41.25,43.5,202209,4.7208
41.25,43.5,202210,3.1481
41.25,43.5,202211,2.1007
41.25,43.5,202212,1.649
41.25,43.5,202213,4.1225
41.25,43.5,202301,2.148
41.25,43.5,202302,2.6798
41.25,43.5,202303,2.9225
41.25,43.5,202304,4.3747
41.25,43.5,202305,5.1276
41.25,43.5,202306,5.6306
41.25,43.5,202307,6.673
41.25,43.5,202308,6.3833
41.25,43.5,202309,4.6798
41.25,43.5,202310,3.1603
41.25,43.5,202311,2.0057
41.25,43.5,202312,1.5826
41.25,43.5,202313,3.9552
41.25,43.5,202401,1.8667
41.25,43.5,202402,2.8982
41.25,43.5,202403,3.1162
41.25,43.5,202404,5.5757
41.25,43.5,202405,4.7798
41.25,43.5,202406,6.7313
41.25,43.5,202407,5.7799
41.25,43.5,202408,5.8937
41.25,43.5,202409,4.5341
41.25,43.5,202410,3.1238
41.25,43.5,202411,2.2745
41.25,43.5,202412,1.8878
41.25,43.5,202413,4.0366
41.25,43.5,202501,2.4406
41.25,43.5,202502,3.2947
41.25,43.5,202503,4.5305
41.25,43.5,202504,4.1225
41.25,43.5,202505,5.7828
41.25,43.5,202506,6.5518
41.25,43.5,202507,6.3026
41.25,43.5,202508,6.1682
41.25,43.5,202509,4.1554
41.25,43.5,202510,3.2098
41.25,43.5,202511,2.6268
41.25,43.5,202512,1.6284
41.25,43.5,202513,4.2408
41.25,43.75,201501,2.01
41.25,43.75,201502,3.462
41.25,43.75,201503,3.8222
41.25,43.75,201504,4.2982
41.25,43.75,201505,5.2529
41.25,43.75,201506,6.2837
41.25,43.75,201507,6.3631
41.25,43.75,201508,5.9837
41.25,43.75,201509,5.1641
41.25,43.75,201510,2.5855
41.25,43.75,201511,2.0378
41.25,43.75,201512,1.6546
41.25,43.75,201513,4.0776
41.25,43.75,201601,1.981
41.25,43.75,201602,3.1997
41.25,43.75,201603,3.7085
41.25,43.75,201604,5.1113
41.25,43.75,201605,5.0028
41.25,43.75,201606,5.855
41.25,43.75,201607,6.097
41.25,43.75,201608,6.2978
41.25,43.75,201609,4.3622
41.25,43.75,201610,2.9779
41.25,43.75,201611,2.1936
41.25,43.75,201612,1.6313
41.25,43.75,201613,4.0356
41.25,43.75,201701,2.1497
41.25,43.75,201702,3.6722
41.25,43.75,201703,4.2883
41.25,43.75,201704,5.1869
41.25,43.75,201705,5.0722
41.25,43.75,201706,6.5414
41.25,43.75,201707,6.7195
41.25,43.75,201708,6.4438
41.25,43.75,201709,5.0174
41.25,43.75,201710,2.9652
41.25,43.75,201711,2.0513
41.25,43.75,201712,1.8389
41.25,43.75,201713,4.3303
41.25,43.75,201801,1.9178
41.25,43.75,201802,3.1793
41.25,43.75,201803,3.2561
41.25,43.75,201804,5.6882
41.25,43.75,201805,4.993
41.25,43.75,201806,6.3173
41.25,43.75,201807,6.5573
41.25,43.75,201808,5.3328
41.25,43.75,201809,4.6968
41.25,43.75,201810,3.4358
41.25,43.75,201811,2.0256
41.25,43.75,201812,1.391
41.25,43.75,201813,4.0666
41.25,43.75,201901,1.9968
41.25,43.75,201902,3.3806
41.25,43.75,201903,3.7454
41.25,43.75,201904,4.7258
41.25,43.75,201905,6.2198
41.25,43.75,201906,6.047
41.25,43.75,201907,6.4054
41.25,43.75,201908,5.9066
41.25,43.75,201909,4.409
41.25,43.75,201910,3.7817
41.25,43.75,201911,2.5558
41.25,43.75,201912,1.7954
41.25,43.75,201913,4.2526
41.25,43.75,202001,1.9982
41.25,43.75,202002,2.819
41.25,43.75,202003,3.6595
41.25,43.75,202004,4.7714
41.25,43.75,202005,5.6093
41.25,43.75,202006,6.6403
41.25,43.75,202007,6.3619
41.25,43.75,202008,5.9575
41.25,43.75,202009,4.9795
41.25,43.75,202010,3.8705
41.25,43.75,202011,1.997
41.25,43.75,202012,1.8331
41.25,43.75,202013,4.2115
41.25,43.75,202101,1.8734
41.25,43.75,202102,3.0235
41.25,43.75,202103,3.5719
41.25,43.75,202104,4.8101
41.25,43.75,202105,6.3442
41.25,43.75,202106,6.714
41.25,43.75,202107,6.1889
41.25,43.75,202108,5.923
41.25,43.75,202109,4.2641
41.25,43.75,202110,3.1013
41.25,43.75,202111,2.2555
41.25,43.75,202112,1.6694
41.25,43.75,202113,4.1501
41.25,43.75,202201,2.0558
41.25,43.75,202202,2.8656
41.25,43.75,202203,3.5422
41.25,43.75,202204,4.9678
41.25,43.75,202205,5.4859
41.25,43.75,202206,5.7538
41.25,43.75,202207,6.6079
41.25,43.75,202208,6.4843
41.25,43.75,202209,4.7208
41.25,43.75,202210,3.1481
41.25,43.75,202211,2.1007
41.25,43.75,202212,1.649
41.25,43.75,202213,4.1225
41.25,43.75,202301,2.148
41.25,43.75,202302,2.6798
41.25,43.75,202303,2.9225
41.25,43.75,202304,4.3747
41.25,43.75,202305,5.1276
41.25,43.75,202306,5.6306
41.25,43.75,202307,6.673
41.25,43.75,202308,6.3833
41.25,43.75,202309,4.6798
41.25,43.75,202310,3.1603
41.25,43.75,202311,2.0057
41.25,43.75,202312,1.5826
41.25,43.75,202313,3.9552
41.25,43.75,202401,1.8667
41.25,43.75,202402,2.8982
41.25,43.75,202403,3.1162
41.25,43.75,202404,5.5757
41.25,43.75,202405,4.7798
41.25,43.75,202406,6.7313
41.25,43.75,202407,5.7799
41.25,43.75,202408,5.8937
41.25,43.75,202409,4.5341
41.25,43.75,202410,3.1238
41.25,43.75,202411,2.2745
41.25,43.75,202412,1.8878
41.25,43.75,202413,4.0366
41.25,43.75,202501,2.4406
41.25,43.75,202502,3.2947
41.25,43.75,202503,4.5305
41.25,43.75,202504,4.1225
41.25,43.75,202505,5.7828
41.25,43.75,202506,6.5518
41.25,43.75,202507,6.3026
41.25,43.75,202508,6.1682
41.25,43.75,202509,4.1554
41.25,43.75,202510,3.2098
41.25,43.75,202511,2.6268
41.25,43.75,202512,1.6284
41.25,43.75,202513,4.2408
41.25,44.0,201501,1.9008
41.25,44.0,201502,2.6772
41.25,44.0,201503,3.2789
41.25,44.0,201504,4.2132
41.25,44.0,201505,5.1182
41.25,44.0,201506,6.5098
41.25,44.0,201507,5.9018
41.25,44.0,201508,5.4655
41.25,44.0,201509,4.8626
41.25,44.0,201510,2.3633
41.25,44.0,201511,2.1977
41.25,44.0,201512,1.8218
41.25,44.0,201513,3.8626
41.25,44.0,201601,1.6618
41.25,44.0,201602,2.5037
41.25,44.0,201603,3.6187
41.25,44.0,201604,5.0225
41.25,44.0,201605,4.8773
41.25,44.0,201606,5.8325
41.25,44.0,201607,5.6794
41.25,44.0,201608,6.1966
41.25,44.0,201609,4.2989
41.25,44.0,201610,2.6414
41.25,44.0,201611,2.1242
41.25,44.0,201612,1.5674
41.25,44.0,201613,3.8374
41.25,44.0,201701,2.0016
41.25,44.0,201702,3.1015
41.25,44.0,201703,3.9072
41.25,44.0,201704,4.8106
41.25,44.0,201705,4.9195
41.25,44.0,201706,6.2844
41.25,44.0,201707,6.2988
41.25,44.0,201708,6.2683
41.25,44.0,201709,4.6908
41.25,44.0,201710,2.9393
41.25,44.0,201711,2.0822
41.25,44.0,201712,1.6529
41.25,44.0,201713,4.0836
41.25,44.0,201801,1.6325
41.25,44.0,201802,2.4161
41.25,44.0,201803,2.9839
41.25,44.0,201804,4.962
41.25,44.0,201805,5.0918
41.25,44.0,201806,6.1253
41.25,44.0,201807,6.2429
41.25,44.0,201808,4.6289
41.25,44.0,201809,4.3932
41.25,44.0,201810,3.1447
41.25,44.0,201811,1.7738
41.25,44.0,201812,1.2722
41.25,44.0,201813,3.7265
41.25,44.0,201901,1.9061
41.25,44.0,201902,2.7089
41.25,44.0,201903,3.3818
41.25,44.0,201904,4.4359
41.25,44.0,201905,5.9623
41.25,44.0,201906,6.5191
41.25,44.0,201907,6.241
41.25,44.0,201908,5.3844
41.25,44.0,201909,3.8719
41.25,44.0,201910,3.7073
41.25,44.0,201911,2.3314
41.25,44.0,201912,1.8185
41.25,44.0,201913,4.0303
41.25,44.0,202001,1.937
41.25,44.0,202002,2.789
41.25,44.0,202003,3.2892
41.25,44.0,202004,4.3109
41.25,44.0,202005,5.7055
41.25,44.0,202006,6.4594
41.25,44.0,202007,6.1459
41.25,44.0,202008,5.4415
41.25,44.0,202009,4.1544
41.25,44.0,202010,3.3307
41.25,44.0,202011,1.9044
41.25,44.0,202012,1.495
41.25,44.0,202013,3.9166
41.25,44.0,202101,1.8252
41.25,44.0,202102,2.7278
41.25,44.0,202103,3.1718
41.25,44.0,202104,4.3284
41.25,44.0,202105,6.3137
41.25,44.0,202106,6.6226
41.25,44.0,202107,5.6042
41.25,44.0,202108,6.0691
41.25,44.0,202109,3.8338
41.25,44.0,202110,2.6592
41.25,44.0,202111,2.1125
41.25,44.0,202112,1.7393
41.25,44.0,202113,3.9238
41.25,44.0,202201,1.9034
41.25,44.0,202202,2.8584
41.25,44.0,202203,3.283
41.25,44.0,202204,4.8977
41.25,44.0,202205,5.7262
41.25,44.0,202206,5.388
41.25,44.0,202207,6.6986
41.25,44.0,202208,5.9796
41.25,44.0,202209,4.6502
41.25,44.0,202210,3.0024
41.25,44.0,202211,2.1554
41.25,44.0,202212,1.4995
41.25,44.0,202213,4.0099
41.25,44.0,202301,1.9915
41.25,44.0,202302,2.3794
41.25,44.0,202303,3.0312
41.25,44.0,202304,4.3044
41.25,44.0,202305,5.0311
41.25,44.0,202306,5.2133
41.25,44.0,202307,6.5846
41.25,44.0,202308,6.1778
41.25,44.0,202309,3.9154
41.25,44.0,202310,3.169
41.25,44.0,202311,2.2702
41.25,44.0,202312,1.7114
41.25,44.0,202313,3.8256
