latitude,longitude,suitability_score
41.25,43.25,1.28
41.25,43.5,1.3399999999999999
41.25,43.75,1.44
41.25,44.0,0.79
41.25,44.25,0.92
41.25,44.5,0.13
41.25,44.75,1.51
41.25,45.75,1.1
41.25,46.0,0.0
41.25,46.25,0.0
41.25,46.5,0.79
41.5,41.75,0.0
41.5,42.0,0.0
41.5,42.25,0.89
41.5,42.5,0.0
41.5,43.0,0.0
41.5,43.25,1.43
41.5,43.5,1.3399999999999999
41.5,43.75,1.3599999999999999
41.5,44.0,1.19
41.5,44.25,0.14
41.5,44.5,1.5699999999999998
41.5,44.75,1.65
41.5,45.0,0.0
41.5,45.25,1.1600000000000001
41.5,45.5,1.24
41.5,45.75,1.26
41.5,46.0,0.37
41.5,46.25,1.12
41.75,41.75,0.25
41.75,42.0,0.0
41.75,42.25,0.23
41.75,42.5,0.16
41.75,42.75,0.14
41.75,43.0,0.0
41.75,43.25,0.14
41.75,43.5,0.23
41.75,43.75,0.2
41.75,44.0,0.8700000000000001
41.75,44.25,0.19
41.75,44.5,0.24000000000000002
41.75,44.75,1.42
41.75,45.0,0.0
41.75,45.25,1.33
41.75,45.5,0.0
41.75,45.75,0.0
41.75,46.0,0.0
42.0,42.0,0.0
42.0,42.25,0.0
42.0,42.5,0.16
42.0,42.75,0.11
42.0,43.0,0.19
42.0,43.25,0.23
42.0,43.5,0.0
42.0,43.75,1.44
42.0,44.0,1.57
42.0,44.25,0.0
42.0,44.5,1.54
42.0,44.75,1.47
42.0,45.0,0.0
42.0,45.25,1.5
42.0,45.5,1.76
42.0,45.75,0.0
42.0,46.0,0.4
42.25,41.75,0.23
42.25,42.0,0.0
42.25,42.25,0.22
42.25,42.5,1.28
42.25,42.75,0.24000000000000002
42.25,43.0,1.52
42.25,43.25,1.38
42.25,43.5,1.42
42.25,43.75,0.21000000000000002
42.25,44.0,0.13
42.25,44.25,0.23
42.25,44.5,0.19
42.25,44.75,0.63
42.25,45.0,0.0
42.25,45.25,0.0
42.25,45.5,0.21
42.5,41.75,0.41000000000000003
42.5,42.0,0.0
42.5,42.25,0.21000000000000002
42.5,42.5,0.0
42.5,42.75,0.26
42.5,43.0,0.22
42.5,43.25,0.19
42.5,43.5,0.11
42.5,43.75,0.0
42.5,44.0,1.07
42.5,44.25,0.49
42.5,44.5,0.21
42.5,44.75,0.0
42.5,45.0,0.0
42.5,45.25,0.0
42.5,45.5,0.0
42.75,41.5,1.33
42.75,41.75,0.21000000000000002
42.75,42.0,0.0
42.75,42.25,0.0
42.75,42.5,0.0
42.75,42.75,0.19
42.75,43.0,0.0
42.75,43.25,0.13
42.75,43.5,0.0
42.75,43.75,0.0
43.0,41.0,1.53
43.0,41.25,0.0
43.0,41.5,0.15
43.0,41.75,0.11
43.0,42.0,0.0
43.0,42.25,0.24000000000000002
43.0,42.5,0.11
43.0,42.75,0.16
43.0,43.0,0.68
43.25,40.5,0.23
43.25,40.75,0.19
43.25,41.0,0.2
43.25,41.25,0.41
43.25,41.5,0.11
43.5,40.25,0.07
43.5,40.5,0.0
