latitude,longitude,month,ghi_monthly,dni_monthly,dif_monthly
41.25,43.25,1.0,2.05234877191502,2.012338924638873,0.8471186605550476
41.25,43.25,2.0,3.1489468902421636,3.087559232411604,1.2997457880084797
41.25,43.25,3.0,3.6720946164165804,3.60050837006465,1.515677995600943
41.25,43.25,4.0,4.909540199482989,4.81383036874397,2.026440717406192
41.25,43.25,5.0,5.4528089920487295,5.3465083193836715,2.2506780099060575
41.25,43.25,6.0,6.31801484687565,6.194847277809864,2.607796660924362
41.25,43.25,7.0,6.408559645636608,6.2836269362498145,2.645169543007673
41.25,43.25,8.0,6.106743649766751,5.98769474144998,2.5205932693966364
41.25,43.25,9.0,4.658026869591443,4.5672202064107745,1.9226271560636616
41.25,43.25,10.0,3.229431155807458,3.1664744843582264,1.3329661276380895
41.25,43.25,11.0,2.203256769849948,2.16030502203879,0.9094067973605656
41.25,43.25,12.0,1.7002301100668549,1.6670846973723996,0.7017796746755051
41.25,43.5,1.0,1.979738447914401,1.8997191066603396,0.8678643917056031
41.25,43.5,2.0,3.0375398735157226,2.914765099924933,1.3315762480581066
41.25,43.5,3.0,3.542179085729197,3.399007225152078,1.5527965831987507
41.25,43.5,4.0,4.735844914618762,4.544426098285518,2.076067760550658
41.25,43.5,5.0,5.259893327301985,5.047292920636784,2.3057965701197882
41.25,43.5,6.0,6.094488947501194,5.848154896973987,2.6716609705447
41.25,43.5,7.0,6.1818303496150655,5.9319660340325315,2.709949105472888
41.25,43.5,8.0,5.89069234256883,5.652595577170716,2.5823219890455933
41.25,43.5,9.0,4.493229908746899,4.3116173842340055,1.9697118301945793
41.25,43.5,10.0,3.1151766753947188,2.9892638884214167,1.365610145772052
41.25,43.5,11.0,2.1253074514375183,2.039404335091247,0.9316779499192503
41.25,43.5,12.0,1.6400774396937927,1.5737869069882224,0.7189660892070927
41.25,43.75,1.0,2.066673131023712,2.0977918749571427,0.8426731088836893
41.25,43.75,2.0,3.1709249510314796,3.218670866968557,1.2929249170617387
41.25,43.75,3.0,3.6977239844296803,3.7534021292125344,1.5077239448164046
41.25,43.75,4.0,4.943806313429271,5.018247230289634,2.015806260466864
41.25,43.75,5.0,5.490866848112018,5.5735450795429955,2.238866789289017
41.25,43.75,6.0,6.362111403347505,6.457908320946498,2.594111335190965
41.25,43.75,7.0,6.453288159127963,6.550457962488725,2.631288089994657
41.25,43.75,8.0,6.14936563985977,6.241959157347968,2.5073655739823497
41.25,43.75,9.0,4.690537547372443,4.761164892672338,1.9125374971232747
41.25,43.75,10.0,3.2519709561696644,3.300937215006092,1.3259709213316873
41.25,43.75,11.0,2.218634390657808,2.2520412775275203,0.9046343668898428
41.25,43.75,12.0,1.7120968585441534,1.7378766022929268,0.698096840202664
41.25,44.0,1.0,1.742005070152185,1.5578516669895337,0.8577800699512061
41.25,44.0,2.0,2.464751854577028,2.2041943798894468,1.2136675457820258
41.25,44.0,3.0,3.1411687169233553,2.809104867603468,1.5467417218801007
41.25,44.0,4.0,4.262352831223431,3.8117647171020503,2.0988235754125255
41.25,44.0,5.0,4.957301662401165,4.433248094890429,2.4410230714036985
