lat,lon,voltage,distance_to_line,index_right,distance_to_substation,line_score,substation_score,grid_score
41.25,43.25,110000.0,24389.455712819126,169,11198.676599389846,0.5061809173473276,0.6906329829864939,0.5984069501669107
41.25,43.5,110000.0,7168.807481358513,643,8317.797029731704,0.7771503502107512,0.7503497298363041,0.7637500400235276
41.25,43.75,110000.0,5138.506427292896,317,11106.629697649249,0.8295036139335838,0.6923936188269503,0.760948616380267
41.25,44.0,110000.0,20552.665181327604,574,19949.06574194027,0.5488153086210135,0.5561850861045472,0.5525001973627803
41.25,44.25,220000.0,24262.900346241684,574,10711.18466763735,0.5074812855980632,0.700060785792296,0.6037710356951795
41.25,44.5,220000.0,23639.185874711045,205,15012.52093407002,0.5139888661869697,0.6248044216257542,0.569396643906362
41.25,44.75,110000.0,3836.9775542644197,322,5257.877539433763,0.8669424509886957,0.8262311184060612,0.8465867846973785
41.25,45.75,500000.0,11761.850059101818,287,19307.119641461126,0.6800528254102457,0.5642434038209478,0.6221481146155967
41.25,46.0,500000.0,24786.14079377028,385,8777.023755735225,0.5021477785064281,0.7401481012889741,0.6211479398977011
41.25,46.25,500000.0,30904.16344937448,588,14633.50218688328,0.4471938842737433,0.6307794825225856,0.5389866833981645
41.25,46.5,500000.0,37037.659187115765,557,14984.326833994284,0.4029810332558792,0.6252449892127543,0.5141130112343167
41.5,41.75,110000.0,3315.6466756306754,292,3533.90863724521,0.8829040807856873,0.8761505588956569,0.8795273198406721
41.5,42.0,220000.0,11853.799807356529,248,14053.737531811636,0.6783561025099413,0.6401435964902459,0.6592498495000936
41.5,42.25,110000.0,16011.95946218776,184,14769.90810774309,0.6095782871103615,0.628615986043291,0.6190971365768263
41.5,42.5,380000.0,7418.579041928709,158,11796.415112790091,0.771162732569683,0.6794140114836956,0.7252883720266894
41.5,43.0,110000.0,9163.790545116359,115,15539.522875580275,0.7317689167712597,0.6166821468700414,0.6742255318206505
41.5,43.25,220000.0,3064.4869025040016,167,2319.5435596095804,0.8908055253905041,0.9150958157646931,0.9029506705775986
41.5,43.5,110000.0,4200.500488121761,187,10207.26167117952,0.8561497091520589,0.7100807848531109,0.7831152470025848
41.5,43.75,110000.0,8661.33976744411,224,13750.343917585467,0.7426917696300072,0.6451555643782206,0.6939236670041139
41.5,44.0,110000.0,9641.182256531827,318,5759.649143824335,0.7216843759795779,0.812753093609954,0.7672187347947659
41.5,44.25,220000.0,1362.8723262155104,246,3702.9201071049615,0.9483033445919223,0.8709915195636014,0.9096474320777619
41.5,44.5,220000.0,3026.1677864273643,448,3502.415843600348,0.8920234899937732,0.8771186322303712,0.8845710611120723
41.5,44.75,500000.0,454.31255548504635,447,2782.6059141757755,0.9821518434452023,0.8998435955658148,0.9409977195055086
41.5,45.0,220000.0,2199.8982830663404,435,3969.1937186778405,0.9191210841977332,0.8629857027702256,0.8910533934839794
41.5,45.25,110000.0,11229.362154816525,319,11106.341630831728,0.6900480304668121,0.6923991429431371,0.6912235867049745
41.5,45.5,110000.0,15578.53454843862,189,9470.65706713641,0.6160892767124818,0.7252545244875668,0.6706719006000244
41.5,45.75,110000.0,10072.136293746573,287,9674.68523847662,0.7128165729801167,0.7209870782693898,0.7169018256247532
41.5,46.0,110000.0,15798.574952567498,99,12541.292292451184,0.6127665005227523,0.6659333889000675,0.6393499447114099
41.5,46.25,110000.0,35599.317333936786,172,1327.1597301153276,0.41254590150307713,0.949589711016293,0.6810678062596851
41.75,41.75,220000.0,3622.72230223837,528,2531.2346512037993,0.8734319445933673,0.908059530083838,0.8907457373386026
41.75,42.0,220000.0,10418.428522554043,149,15256.238958552338,0.7058472394979436,0.6210217508332038,0.6634344951655737
41.75,42.25,110000.0,5921.74679671814,380,13107.51504397991,0.8084924879681558,0.6560385785099732,0.7322655332390644
41.75,42.5,110000.0,12073.265252612788,158,17077.126861806635,0.6743403859803823,0.5941470310486545,0.6342437085145184
41.75,42.75,110000.0,7220.358104841502,604,6865.826486471125,0.7759069566717027,0.784539513218461,0.780223234945082
41.75,43.0,500000.0,2219.9273023330206,121,9770.373276129665,0.9184447747535773,0.7190029224438278,0.8187238485987025
41.75,43.25,110000.0,1983.4856622510645,170,6237.551260848203,0.9264926078462171,0.8003188147252093,0.8634057112857132
41.75,43.5,110000.0,13467.28570881413,268,2155.066984666698,0.6499028860326288,0.9206384949857214,0.7852706905091751
41.75,43.75,500000.0,10033.233667577719,268,19121.08647726055,0.7136081195706694,0.5666224926914409,0.6401153061310552
41.75,44.0,500000.0,9190.85491949609,601,12787.103656485882,0.731189672175897,0.6616013819759624,0.6963955270759297
41.75,44.25,110000.0,10488.577508201322,572,12816.202076511136,0.7044520168277402,0.6610922997877755,0.6827721583077578
41.75,44.5,500000.0,3382.7837165325686,260,11958.966367998697,0.880815646896462,0.6764258434902148,0.7786207451933385
41.75,44.75,220000.0,250.92736966391482,527,1648.6522195349025,0.9900626473637805,0.9381337485305785,0.9640981979471794
41.75,45.0,220000.0,1318.963019059739,104,2222.0996093645203,0.9498854488262107,0.9183714834178291,0.9341284661220199
41.75,45.25,500000.0,11456.541309427203,0,2847.8300665491547,0.6857479920492434,0.8977360153468484,0.7917420036980459
41.75,45.5,220000.0,10881.926204349531,316,12131.510966328467,0.6967295974475739,0.6732825933927239,0.6850060954201489
41.75,45.75,110000.0,1118.4301472315424,175,3025.5439092107717,0.9571785080141928,0.8920433473472603,0.9246109276807266
41.75,46.0,110000.0,18234.78915397885,175,18185.910242458795,0.5782380460088188,0.5788925105350894,0.5785652782719541
42.0,42.0,220000.0,4570.103391582143,173,1789.0903612008615,0.8454485149726215,0.9332157106837776,0.8893321128281996
42.0,42.25,110000.0,1624.624329572782,150,1499.3905375869563,0.9389803848699467,0.9434179236892181,0.9411991542795823
42.0,42.5,110000.0,12070.1946047881,283,10058.867428951506,0.6743962438430503,0.7130863554181752,0.6937412996306127
42.0,42.75,110000.0,10818.322023711553,281,10763.443631998556,0.6979668110485501,0.6990378291656398,0.698502320107095
42.0,43.0,500000.0,2937.8466402008244,240,11145.673410384048,0.8948434831776388,0.6916457114011858,0.7932445972894123
42.0,43.25,220000.0,2937.828287780924,275,2408.9077144018265,0.8948440710022606,0.912112232289502,0.9034781516458813
42.0,43.5,110000.0,1687.895066052456,276,2235.2896255693067,0.9367542827234998,0.9179267172737994,0.9273404999986496
42.0,43.75,110000.0,3317.547459943184,272,3945.498783496527,0.8828448168176978,0.8636921473349742,0.873268482076336
42.0,44.0,110000.0,920.7840112809662,266,6456.903379563679,0.964476999967276,0.7947381119605538,0.8796075559639149
42.0,44.25,220000.0,3345.131380989456,297,7359.288635615237,0.8819856808554793,0.7725756978626698,0.8272806893590745
42.0,44.5,220000.0,4380.059326930347,93,6420.742031544178,0.8509172742576631,0.795652756223955,0.8232850152408091
42.0,44.75,500000.0,10515.212990081574,286,3659.3274603230466,0.7039236962194713,0.8723163526642715,0.7881200244418713
42.0,45.0,110000.0,9007.910918127107,251,2161.2800410811888,0.7351230735750471,0.9204279018583708,0.827775487716709
42.0,45.25,110000.0,94.84223968444857,177,2098.7542028616053,0.9962206481005699,0.9225516351360543,0.959386141618312
42.0,45.5,350000.0,858.9155351672971,201,4248.495607370986,0.9667845492592603,0.8547448161299513,0.9107646826946059
42.0,45.75,110000.0,18558.937604244304,182,7953.789983149803,0.573935026311662,0.7586380811670888,0.6662865537393754
42.0,46.0,110000.0,30969.970882051774,182,16712.260639347052,0.4466680901564824,0.5993441644449635,0.5230061273007229
