latitude,longitude,suitability_score
41.25,43.25,1.46
41.25,43.5,1.53
41.25,43.75,1.6400000000000001
41.25,44.0,0.9
41.25,44.25,1.05
41.25,44.5,0.16
41.25,44.75,1.7
41.25,45.75,1.24
41.25,46.0,0.0
41.25,46.25,0.0
41.25,46.5,0.91
41.5,41.75,0.0
41.5,42.0,0.0
41.5,42.25,1.0
41.5,42.5,0.0
41.5,43.0,0.0
41.5,43.25,1.61
41.5,43.5,1.52
41.5,43.75,1.54
41.5,44.0,1.35
41.5,44.25,0.16
41.5,44.5,1.79
41.5,44.75,1.8599999999999999
41.5,45.0,0.0
41.5,45.25,1.31
41.5,45.5,1.42
41.5,45.75,1.42
41.5,46.0,0.43
41.5,46.25,1.27
41.75,41.75,0.27999999999999997
41.75,42.0,0.0
41.75,42.25,0.26
41.75,42.5,0.2
41.75,42.75,0.16
41.75,43.0,0.0
41.75,43.25,0.16
41.75,43.5,0.26
41.75,43.75,0.22
41.75,44.0,0.98
41.75,44.25,0.22
41.75,44.5,0.26
41.75,44.75,1.61
41.75,45.0,0.0
41.75,45.25,1.51
41.75,45.5,0.0
41.75,45.75,0.0
41.75,46.0,0.0
42.0,42.0,0.0
42.0,42.25,0.0
42.0,42.5,0.19
42.0,42.75,0.14
42.0,43.0,0.21
42.0,43.25,0.26
42.0,43.5,0.0
42.0,43.75,1.6400000000000001
42.0,44.0,1.79
42.0,44.25,0.0
42.0,44.5,1.74
42.0,44.75,1.67
42.0,45.0,0.0
42.0,45.25,1.71
42.0,45.5,1.99
42.0,45.75,0.0
42.0,46.0,0.44
42.25,41.75,0.25
42.25,42.0,0.0
42.25,42.25,0.24000000000000002
42.25,42.5,1.46
42.25,42.75,0.27
42.25,43.0,1.71
42.25,43.25,1.56
42.25,43.5,1.62
42.25,43.75,0.24000000000000002
42.25,44.0,0.14
42.25,44.25,0.24000000000000002
42.25,44.5,0.22000000000000003
42.25,44.75,0.73
42.25,45.0,0.0
42.25,45.25,0.0
42.25,45.5,0.24000000000000002
42.5,41.75,0.47000000000000003
42.5,42.0,0.0
42.5,42.25,0.24000000000000002
42.5,42.5,0.0
42.5,42.75,0.32
42.5,43.0,0.24000000000000002
42.5,43.25,0.21000000000000002
42.5,43.5,0.11
42.5,43.75,0.0
42.5,44.0,1.22
42.5,44.25,0.56
42.5,44.5,0.23
42.5,44.75,0.0
42.5,45.0,0.0
42.5,45.25,0.0
42.5,45.5,0.0
42.75,41.5,1.53
42.75,41.75,0.24000000000000002
42.75,42.0,0.0
42.75,42.25,0.0
42.75,42.5,0.0
42.75,42.75,0.22
42.75,43.0,0.0
42.75,43.25,0.14
42.75,43.5,0.0
42.75,43.75,0.0
43.0,41.0,1.74
43.0,41.25,0.0
43.0,41.5,0.18
43.0,41.75,0.13
43.0,42.0,0.0
43.0,42.25,0.27
43.0,42.5,0.11
43.0,42.75,0.2
43.0,43.0,0.77
43.25,40.5,0.25
43.25,40.75,0.21000000000000002
43.25,41.0,0.23
43.25,41.25,0.46
43.25,41.5,0.13
43.5,40.25,0.09
43.5,40.5,0.0
