latitude,longitude,suitability_score
41.25,43.25,1.07
41.25,43.5,1.13
41.25,43.75,1.2
41.25,44.0,0.66
41.25,44.25,0.77
41.25,44.5,0.13
41.25,44.75,1.26
41.25,45.75,0.91
41.25,46.0,0.0
41.25,46.25,0.0
41.25,46.5,0.67
41.5,41.75,0.0
41.5,42.0,0.0
41.5,42.25,0.73
41.5,42.5,0.0
41.5,43.0,0.0
41.5,43.25,1.19
41.5,43.5,1.1099999999999999
41.5,43.75,1.13
41.5,44.0,0.99
41.5,44.25,0.13
41.5,44.5,1.31
41.5,44.75,1.36
41.5,45.0,0.0
41.5,45.25,0.96
41.5,45.5,1.04
41.5,45.75,1.05
41.5,46.0,0.32
41.5,46.25,0.94
41.75,41.75,0.22
41.75,42.0,0.0
41.75,42.25,0.2
41.75,42.5,0.14
41.75,42.75,0.11
41.75,43.0,0.0
41.75,43.25,0.12000000000000001
41.75,43.5,0.2
41.75,43.75,0.16
41.75,44.0,0.74
41.75,44.25,0.15
41.75,44.5,0.21
41.75,44.75,1.18
41.75,45.0,0.0
41.75,45.25,1.1
41.75,45.5,0.0
41.75,45.75,0.0
41.75,46.0,0.0
42.0,42.0,0.0
42.0,42.25,0.0
42.0,42.5,0.13
42.0,42.75,0.1
42.0,43.0,0.15
42.0,43.25,0.2
42.0,43.5,0.0
42.0,43.75,1.21
42.0,44.0,1.31
42.0,44.25,0.0
42.0,44.5,1.28
42.0,44.75,1.22
42.0,45.0,0.0
42.0,45.25,1.25
42.0,45.5,1.47
42.0,45.75,0.0
42.0,46.0,0.32
42.25,41.75,0.19
42.25,42.0,0.0
42.25,42.25,0.19
42.25,42.5,1.0699999999999998
42.25,42.75,0.21000000000000002
42.25,43.0,1.25
42.25,43.25,1.1400000000000001
42.25,43.5,1.18
42.25,43.75,0.16
42.25,44.0,0.11
42.25,44.25,0.18
42.25,44.5,0.15
42.25,44.75,0.53
42.25,45.0,0.0
42.25,45.25,0.0
42.25,45.5,0.18
42.5,41.75,0.35
42.5,42.0,0.0
42.5,42.25,0.17
42.5,42.5,0.0
42.5,42.75,0.22
42.5,43.0,0.17
42.5,43.25,0.14
42.5,43.5,0.09
42.5,43.75,0.0
42.5,44.0,0.89
42.5,44.25,0.41000000000000003
42.5,44.5,0.18
42.5,44.75,0.0
42.5,45.0,0.0
42.5,45.25,0.0
42.5,45.5,0.0
42.75,41.5,1.13
42.75,41.75,0.17
42.75,42.0,0.0
42.75,42.25,0.0
42.75,42.5,0.0
42.75,42.75,0.15
42.75,43.0,0.0
42.75,43.25,0.1
42.75,43.5,0.0
42.75,43.75,0.0
43.0,41.0,1.27
43.0,41.25,0.0
43.0,41.5,0.13
43.0,41.75,0.1
43.0,42.0,0.0
43.0,42.25,0.2
43.0,42.5,0.1
43.0,42.75,0.14
43.0,43.0,0.56
43.25,40.5,0.19
43.25,40.75,0.14
43.25,41.0,0.16
43.25,41.25,0.35
43.25,41.5,0.1
43.5,40.25,0.04
43.5,40.5,0.0
