site,min_slope,max_slope,mean_slope,median_slope,slope < 5 (%),slope < 10 (%),slope < 15 (%),south oriented aspect (%),slope_score,aspect_score,terrain_suitability
site_1,8.995967e-15,56.7911,7.313055953789335,2.4570282,65.68887366725106,75.49610995498594,81.15915092497555,30.27489790654912,0.7636618318243377,0.5573548529238248,0.7017697381541838
site_2,3.5983867e-14,67.333466,10.400939576457406,8.013242721557617,33.129207630420126,58.20854526512996,73.93775114465056,49.256524289353656,0.610572806779483,0.682328718254003,0.632099580221839
site_3,2.8447744e-14,48.2584,4.370021034716952,2.3736732,71.00985981026663,87.81465331396335,94.95041654200175,50.73689766934426,0.880215762272432,0.6931057549119874,0.8240827600642986
